# biere (litres), vin (litres)
22,12
10,70
49,98
43,18
49,5
29,51
48,85
32,63
41,46
4,4
52,4
48,17
18,58
30,64
32,7
79,37
13,43
11,89
61,118
18,33
28,63
8,70
24,14
9,0
32,13
33,23
67,19
6,14
61,48
25,40
14,21
32,15
42,28
34,10
34,15
57,73
33,70
62,24
67,3
55,25
41,10
36,11
41,18
49,53
37,12
36,9
37,21
22,6
13,12
46,49
61,33
67,87
15,15
52,19
11,24
51,49
22,18
45,45
58,75
54,117
48,31
40,31
10,17
44,27
21,23
30,23
35,32
44,66
50,22
36,7
40,8
6,10
54,11
4,29
57,13
19,2
35,19
14,5
29,22
42,37
67,37
26,6
10,13
29,68
34,27
13,6
42,39
62,33
37,7
36,64
52,18
32,14
6,36
19,93
47,41
47,10
38,106
11,12
5,4
45,51
49,47
16,51
22,6
53,24
12,23
18,48
6,42
29,91
52,14
72,36
53,55
35,15
17,14
43,18
40,58
60,43
25,90
21,12
56,60
63,17
21,64
65,12
29,5
31,13
41,37
10,14
41,31
33,19
27,9
55,48
49,7
9,25
25,33
53,32
15,16
17,20
17,25
24,58
20,24
35,40
26,11
47,18
37,60
6,1
43,30
49,33
52,28
27,22
40,81
22,26
14,48
24,3
56,15
38,29
23,70
10,65
20,1
41,36
21,13
9,35
44,24
22,9
38,9
38,12
20,16
27,44
49,33
14,47
73,24
48,12
3,15
26,2
11,2
16,57
44,48
32,34
17,29
15,30
28,17
28,19
25,13
26,64
18,9
11,34
46,18
29,36
35,30
39,70
12,2
20,15
56,21
56,4
9,23
30,17
7,2
33,50
29,39
6,19
43,12
62,78
39,15
51,1
37,42
44,44
27,39
30,22
20,13
43,56
14,123
65,14
32,16
46,24
20,16
22,16
49,35
8,7
23,9
15,29
39,25
51,37
65,70
5,55
44,53
43,15
42,32
34,44
37,38
11,24
22,16
38,170
58,17
44,45
4,36
41,6
37,23
53,33
30,23
33,30
27,13
49,49
20,42
26,26
23,41
45,60
59,15
29,32
10,17
52,18
56,58
25,41
28,8
65,51
30,40
21,22
10,55
10,36
70,25
37,6
52,151
46,25
44,25
39,63
3,3
43,27
36,6
58,14
18,32
10,78
31,14
54,17
56,56
27,22
60,1
52,17
19,5
9,13
45,63
23,41
32,107
42,4
65,69
30,4
22,12
16,33
21,5
53,97
60,13
41,75
29,45
15,13
45,37
26,39
49,47
21,16
11,22
26,41
24,5
63,18
39,1
50,9
16,22
