# vin (litres), coca (litres)
39,22
58,7
47,0
53,0
2,63
5,40
33,50
15,26
15,9
0,56
10,27
28,4
36,37
0,74
4,60
82,0
25,20
6,47
0,28
49,6
116,45
80,10
47,2
16,41
84,7
0,45
24,9
0,79
0,15
3,10
81,31
3,50
84,0
78,2
67,0
4,17
15,13
19,55
5,8
0,37
1,27
0,4
27,11
52,0
22,11
68,0
73,0
23,20
24,2
0,111
19,68
0,13
33,43
0,7
15,21
2,5
35,12
48,11
79,10
0,14
0,63
84,0
20,0
46,67
23,0
0,22
16,26
11,8
5,47
44,81
11,1
28,20
10,2
5,5
3,16
42,6
39,16
12,20
12,0
5,15
34,14
0,68
19,14
19,0
0,28
52,0
31,0
16,72
7,7
15,10
16,18
102,25
3,7
22,3
0,40
109,0
42,27
5,0
2,50
2,39
109,0
27,0
20,37
34,82
54,0
4,19
12,5
15,9
3,51
0,39
12,17
6,47
1,14
0,38
0,17
1,60
90,41
59,26
21,41
91,38
5,1
80,0
15,15
25,23
43,0
14,8
2,42
16,21
5,33
2,50
35,18
5,0
21,44
18,11
158,0
0,38
4,23
85,8
1,10
16,0
92,16
3,80
51,0
21,14
0,42
3,77
0,98
6,68
0,8
22,35
12,30
67,0
56,65
0,82
0,113
33,57
24,35
23,23
22,18
65,4
0,71
56,13
49,0
9,44
69,0
90,0
48,26
6,12
0,56
53,81
0,66
0,63
88,13
18,11
62,17
9,25
37,0
2,60
12,25
37,19
18,8
18,46
0,75
112,0
0,57
51,10
9,50
0,4
22,4
6,14
58,0
5,77
0,76
1,83
112,44
1,0
29,0
9,59
36,0
72,5
78,48
11,5
0,33
100,0
9,0
46,98
0,45
5,29
11,0
127,37
14,150
4,15
94,20
14,25
57,25
14,55
28,9
0,53
3,33
57,11
33,43
43,65
12,13
0,33
0,125
47,21
27,0
2,27
125,0
0,47
8,18
16,31
18,7
35,19
1,21
0,36
13,9
33,17
21,9
0,30
3,32
8,19
27,7
0,20
130,23
31,42
10,59
49,10
20,4
68,0
36,12
40,0
9,43
50,73
0,20
5,26
28,2
86,0
17,37
30,73
77,3
47,21
105,28
25,72
18,0
19,16
29,0
0,28
32,35
14,1
37,10
0,65
53,28
44,40
10,17
1,39
82,17
63,49
5,41
16,2
0,47
0,20
38,42
92,6
40,25
48,10
11,15
14,0
10,38
1,32
11,43
12,28
2,63
15,18
1,2
0,43
0,10
16,10
11,98
24,10
0,19
36,0
55,0
27,15
15,96
0,104
12,18
9,86
5,18
20,0
5,24
32,13
0,85
90,0
28,8
0,50
27,7
61,17
29,1
0,45
36,71
11,2
0,57
28,5
79,0
0,28
4,4
0,52
23,9
0,45
19,7
59,10
44,0
21,18
19,8
24,4
32,8
5,14
10,1
17,13
19,5
20,0
18,6
52,11
1,5
36,21
55,36
31,0
39,3
22,0
3,17
25,74
26,0
37,0
23,20
0,127
18,42
4,11
0,21
21,15
16,6
105,67
0,55
61,1
3,0
7,76
5,17
98,64
24,29
0,89
25,31
5,19
63,20
45,2
55,8
47,79
57,3
28,8
55,7
5,21
0,20
16,34
25,0
32,41
69,0
59,21
51,21
24,0
11,11
0,80
38,20
79,34
0,16
0,18
25,48
75,0
14,0
11,25
22,23
0,16
80,0
2,37
0,6
1,30
20,51
18,19
52,52
0,8
1,22
118,34
53,12
19,0
0,15
0,7
43,44
47,51
2,16
14,6
0,77
5,9
0,57
0,47
93,14
60,0
1,9
34,0
0,73
8,1
115,57
4,8
29,21
0,37
14,61
16,57
60,20
35,14
17,15
57,0
41,35
31,35
4,22
43,69
0,45
0,68
0,26
93,0
0,41
45,0
32,16
8,85
35,21
33,0
54,43
23,47
23,0
14,3
0,23
21,17
30,12
39,97
0,142
0,66
0,58
49,0
22,64
24,11
32,17
8,9
66,39
64,3
47,9
1,59
0,25
29,41
66,23
45,0
55,0
130,0
58,0
0,1
34,0
14,31
4,5
1,8
40,32
85,0
16,34
29,4
0,63
37,13
13,23
55,0
47,107
19,44
0,32
18,66
21,18
66,19
12,15
9,10
28,13
0,66
73,0
88,0
81,9
7,8
19,14
0,9
35,3
35,0
78,1
64,0
2,101
7,71
19,60
48,0
10,9
0,45
47,43
7,0
42,5
57,54
19,21
0,95
11,42
1,5
31,64
12,37
5,11
43,0
33,30
0,22
0,79
6,40
50,1
91,16
66,0
11,7
68,0
36,1
26,34
9,25
0,103
8,20
26,25
40,15
0,41
94,0
35,7
0,36
0,5
46,29
144,0
60,11
23,1
73,77
0,28
89,0
24,61
13,19
46,1
23,3
15,0
0,60
44,15
79,0
4,56
32,0
0,38
51,1
97,0
52,9
31,21
1,18
3,8
108,0
111,31
24,0
7,61
5,4
26,44
49,0
16,35
0,48
0,49
37,17
25,1
39,66
1,22
20,0
38,2
28,25
16,3
15,36
40,0
0,131
21,38
21,7
110,0
88,0
0,68
5,9
17,31
50,12
14,3
68,8
21,0
2,14
5,14
9,2
2,16
0,78
49,0
76,0
85,0
111,15
64,68
25,1
11,4
12,64
0,83
15,34
1,16
29,18
0,41
95,0
19,1
9,15
0,51
12,4
11,0
1,4
8,6
34,55
55,18
22,1
67,35
21,14
18,15
0,6
12,6
44,0
2,19
64,14
55,3
7,16
49,0
22,37
0,37
0,53
37,21
7,53
3,107
58,0
3,13
8,49
35,63
22,6
0,38
10,37
1,29
15,7
21,54
12,10
42,8
71,0
23,14
28,9
64,0
9,10
0,9
6,0
34,4
97,0
22,20
8,25
24,86
45,0
1,8
6,0
85,0
104,0
0,29
19,0
18,15
0,88
33,6
20,16
100,0
102,10
37,5
0,10
0,127
11,5
9,32
18,30
0,47
9,40
30,18
1,20
45,0
10,7
44,0
9,17
6,61
76,88
27,0
6,24
25,18
37,58
47,36
7,20
0,29
23,7
93,24
33,12
0,30
45,86
86,4
0,67
0,30
28,26
7,10
17,15
27,26
38,0
8,62
47,0
80,0
20,6
33,21
3,30
27,73
70,0
25,8
47,0
13,22
106,0
0,11
55,0
2,10
48,39
8,4
0,81
0,54
26,15
42,28
36,5
22,20
14,25
0,53
70,0
97,0
2,9
29,9
16,5
51,22
26,0
61,37
29,35
22,12
2,9
17,4
74,11
0,14
40,5
2,1
42,13
23,0
52,0
4,27
0,32
14,30
32,0
0,76
74,14
89,41
102,6
36,64
25,4
13,10
1,43
42,18
83,31
0,37
0,76
53,7
33,11
17,3
13,3
8,56
13,9
6,3
47,21
6,11
21,2
140,0
15,2
45,24
7,34
46,32
2,11
76,0
21,0
40,18
24,16
30,106
47,7
46,9
48,0
15,59
76,0
21,6
18,0
60,0
35,27
13,3
36,1
0,72
13,17
12,3
0,35
75,2
0,17
7,42
55,0
16,15
4,50
55,20
0,16
40,21
59,40
39,6
20,3
18,20
19,56
54,45
10,13
11,28
11,55
64,10
19,29
49,3
106,1
67,68
23,63
74,0
47,8
99,56
28,14
34,25
8,57
52,101
1,26
0,57
89,19
53,41
0,0
36,0
74,0
37,34
0,21
107,0
0,34
14,17
55,49
7,0
40,32
2,25
0,59
0,46
81,4
26,18
107,18
68,26
4,11
26,13
29,0
0,25
61,7
148,0
4,10
0,112
1,26
24,11
77,0
5,19
11,14
5,40
49,19
26,16
7,13
1,16
21,0
13,7
16,26
60,22
0,39
0,11
0,6
0,70
0,121
12,6
33,1
102,11
36,0
56,0
86,48
4,48
12,4
54,7
28,21
32,6
0,95
0,62
38,14
42,15
0,61
40,0
49,13
105,14
9,26
4,39
28,22
129,0
14,30
7,21
0,11
36,32
36,17
2,21
18,36
80,13
57,19
5,38
10,21
73,0
8,0
0,52
13,16
9,6
89,30
22,49
43,1
